grupo,j1_e1,j1_i1,j1_e2,j1_i2,j1_e3,j1_i3,j1_e4,j1_i4,j2_e1,j2_i1,j2_e2,j2_i2,j2_e3,j2_i3,j2_e4,j2_i4,j3_e1,j3_i1,j3_e2,j3_i2,j3_e3,j3_i3,j3_e4,j3_i4
A,México,mx,Sudáfrica,za,Corea del Sur,kr,Por definirse,none,Por definirse,none,Sudáfrica,za,Corea del Sur,kr,México,mx,Por definirse,none,México,mx,Corea del Sur,kr,Sudáfrica,za
B,Canadá,ca,Italia,it,Catar,qa,Suiza,ch,Canadá,ca,Catar,qa,Italia,it,Suiza,ch,Canadá,ca,Suiza,ch,Italia,it,Catar,qa
C,Brazil,br,Marruecos,ma,Haití,ht,Escocia,gb-sct,Brazil,br,Haití,ht,Marruecos,ma,Escocia,gb-sct,Brazil,br,Escocia,gb-sct,Marruecos,ma,Haití,ht
D,EE.UU.,us,Paraguay,py,Australia,au,Por definirse,none,EE.UU.,us,Australia,au,Paraguay,py,Por definirse,none,EE.UU.,us,Por definirse,none,Paraguay,py,Australia,au
E,Alemania,de,Curazao,cw,Costa de Marfil,ci,Ecuador,ec,Alemania,de,Costa de Marfil,ci,Curazao,cw,Ecuador,ec,Alemania,de,Ecuador,ec,Curazao,cw,Costa de Marfil,ci
F,P. Bajos,nl,Japón,jp,Túnez,tn,Por definirse,none,P. Bajos,nl,Túnez,tn,Japón,jp,Por definirse,none,P. Bajos,nl,Por definirse,none,Japón,jp,Túnez,tn
G,Bélgica,be,Egipto,eg,Irán,ir,Nueva Zelanda,nz,Bélgica,be,Irán,ir,Egipto,eg,Nueva Zelanda,nz,Bélgica,be,Nueva Zelanda,nz,Egipto,eg,Irán,ir
H,España,es,Cabo Verde,cv,Arabia Saudita,sa,Uruguay,uy,España,es,Arabia Saudita,sa,Cabo Verde,cv,Uruguay,uy,España,es,Uruguay,uy,Cabo Verde,cv,Arabia Saudita,sa
I,Francia,fr,Senegal,sn,Por definirse,none,Noruega,no,Francia,fr,Por definirse,none,Senegal,sn,Noruega,no,Francia,fr,Noruega,no,Senegal,sn,Por definirse,none
J,Argentina,ar,Austria,at,Argelia,dz,Jordania,jo,Argentina,ar,Argelia,dz,Austria,at,Jordania,jo,Argentina,ar,Jordania,jo,Austria,at,Argelia,dz
K,Portugal,pt,Por definirse,none,Uzbekistán,uz,Colombia,co,Portugal,pt,Uzbekistán,uz,Por definirse,none,Colombia,co,Portugal,pt,Colombia,co,Por definirse,none,Uzbekistán,uz
L,Inglaterra,gb-eng,Croacia,hr,Ghana,gh,Panamá,pa,Inglaterra,gb-eng,Ghana,gh,Croacia,hr,Panamá,pa,Inglaterra,gb-eng,Panamá,pa,Croacia,hr,Ghana,gh